978-0073376356_Basics of Engineering Economy 2nd Edition_Blank; Leland_Spring 2015_ECON 2107_3_Zeynep Arzu Kelani_2316_Required_60_35_58_999998_160_120_82_131.8_This text covers the basic techniques and applications of engineering economy for all disciplines in the engineering profession.
The writing style emphasizes brief, crisp coverage of the principle or technique discussed in order to reduce the time taken to present and grasp the essentials.
The objective of the text is to explain and demonstrate the principles and techniques of engineering economic analysis as applied in different fields of engineering. This brief text includes coverage of multiple attribute evaluation for instructors who want to include non-economic dimensions in alternative evaluation and the discussion of risk considerations in the appendix, compared to Blank's comprehensive text, where these topics are discussed in two unique chapters."


|978-0321267160_C# Software Solutions_Lewis; John_Spring 2015_CSE 1302 C_1_Richard Gesick_3274_Recommended_32_19_27_999999_89.92_27.94_25.6_11.66_Lewis provides the most up-to-date introduction to the C# programming language.  Takes an object oriented approach by covering C# for a beginning programmer. It provides both text-based and GUI-based examples to demonstrate computing concepts. It uses UML: Unified Modeling Language throughout to illustrate program designs. MARKET: For readers who want to learn how to program using the C# language.



|978-0321707338_Principles of Biochemistry 5th Edition_Moran; Laurence A_Spring 2015_BIOC 3111K_1_Tsai-Tien Tseng _2534_Required_20_16_21_999999_221.25_165.95_87_116.4_Principles of Biochemistry provides a concise introduction to fundamental concepts of biochemistry, striking the right balance of rigor and detail between the encyclopedic volumes and the cursory overview texts available today. Widely praised for accuracy, currency, and clarity of exposition, the Fifth Edition offers a new student-friendly design, an enhanced visual program, new Application Boxes, contemporary research integrated throughout, and updated end-of-chapter problems.

|978-0321732330_Concepts of Genetics Plus Mastering Genetics with etext_William S. Klug, Micheal R. Cumming, Charlotte A. Spencer, and micheal A. Palladino_Spring 2015_BIOL 3000_1_Micheal B. Beach_2922_Required_29_32_61_0_172.71_32.8_18.79_70.56_Known for its focus on teaching core concepts and problem-solving pertainign to genetics

|978-0415892940_Reading for Diversity and Social Justice_Adams, Maurianne_Spring 2015_EDUC 2120_1_BATES_13442_Required_8_8_8_999999_258.45_193.85_122.08_91.99_No description available.

|978-0465085736_Linked_BARBASI_Spring 2015_STS 2400_2_LEFEBVRE_2942_Required_1_1_62_999999_16_12_12_12_No description available.

